Outcome,Predictor,B,95% CI,p value,Holm-adjusted p value,Partial R2
Transfer suture-completion score,Within-training mean LT-RN duration (s),-0.007,-0.031 to 0.016,.526,1.000,0.026
Transfer suture-completion score,Within-training mean LT-RN count,0.274,0.098 to 0.449,.004,.031,0.406
Transfer suture-completion score,Within-training mean RT-LN duration (s),-0.082,-0.604 to 0.440,.744,1.000,0.007
Transfer suture-completion score,Within-training mean RT-LN count,0.745,-1.891 to 3.381,.557,1.000,0.022
Transfer suture-completion score,Workload-adapted group (vs uniform difficulty),0.992,-1.356 to 3.341,.384,NA,0.048
Transfer mean active suture duration,Within-training mean LT-RN duration (s),0.343,-0.342 to 1.027,.304,1.000,0.066
Transfer mean active suture duration,Within-training mean LT-RN count,-8.490,-13.570 to -3.409,.003,.022,0.440
Transfer mean active suture duration,Within-training mean RT-LN duration (s),2.134,-12.981 to 17.249,.769,1.000,0.006
Transfer mean active suture duration,Within-training mean RT-LN count,-27.536,-103.861 to 48.789,.456,1.000,0.035
Transfer mean active suture duration,Workload-adapted group (vs uniform difficulty),-33.091,-101.097 to 34.915,.318,NA,0.062
